slug,id,sofascore_id
maciej-radaszkiewicz,549695,892277
tomasz-loska,260706,801418
lukasz-budzilek,120882,71149
dominik-kakolewski,393856,982764
damian-pawelski,442101,1088369
krystian-bartoszek,649897,1117641
wiktor-biedrzycki,448671,844502
artem-putivtsev,59434,109004
pawel-oleksy,106834,550022
jan-klimek,535186,1106338
marcin-grabowski,345451,941360
mateusz-grzybek,244782,286091
michal-hubinek,333612,578226
pawel-zyra,353827,798698
piotr-wlazlo,134491,111125
sebastian-bonecki,242797,339247
michal-bezpalec,431810,851647
vlastimir-jovanovic,46367,55785
jakub-pek,529418,
michal-orzechowski,603722,957291
marcin-wasielewski,391374,851511
martin-zeman,62570,31601
samuel-stefanik,132376,109771
patrik-misak,192737,121859
kacper-janiak,504602,1022152
dawid-kalisz,451622,920660
adam-radwanski,321564,796980
marcel-vasil,365135,929619
jakub-janczy,680912,1117665
kacper-spiewak,504361,921491
roman-gergel,74704,63242
patryk-czarnowski,342040,851248
bartosz-snopczynski,657607,1064408
tomasz-matuszewski,598006,943353
konrad-jalocha,236243,291709
adrian-odyjewski,598580,1046668
artur-sip,864030,1117502
kacper-dana,813830,1109962
szymon-bielusiak,689979,942248
nemanja-nedic,378078,890632
maciej-manka,146063,77233
kamil-szymura,131328,122043
lukasz-solowiej,196419,893431
anatoliy-kozlenko,792494,1091278
bartosz-zarebski,864031,1117418
marcel-stefaniak,372691,941604
bartosz-szeliga,158528,138058
oskar-paprzycki,385820,891665
jakub-piatek,379840,891629
wiktor-zytek,421330,833993
lukasz-norkowski,456223,991148
milosz-pawlusinski,864029,1117749
marcel-misztal,740728,1117736
dominik-polap,598565,940425
lukasz-moneta,284866,792085
krzysztof-wolkowicz,228627,235436
kacper-piatek,549694,
sebastian-steblecki,220976,181497
aleksander-bieganski,687440,
dorian-orlinski,864028,1117580
bartosz-biel,187971,586154
kamil-kargulewicz,562606,971490
lukasz-grzeszczyk,41679,60316
damian-nowak,223589,230256
szymon-lewicki,45813,548846
dawid-kasprzyk,687441,990250
michal-staniucha,598563,940426
natan-dziegielewski,864041,
pawel-lenarcik,279144,369962
jedrzej-grobelny,531538,1005905
mateusz-hewelt,318547,798951
alan-madalinski,867154,1117428
nemanja-mijuskovic,144695,122319
wiktor-plesnierowicz,407089,940422
marcin-biernat,191889,230698
ruben-hoogenhout,345890,870178
bozo-musa,143008,108026
kacper-andrzejewski,407096,1021798
dani-pinillos,240039,1482537
pawel-zielinski,309384,387198
marcin-pietrowski,32925,82061
szymon-matuszek,46590,44927
adrian-purzycki,345435,845972
adrian-petk,538277,990240
korneliusz-karolczak,800020,1117639
damian-tront,379232,
mehdi-lehaire,483487,881351
aboubacar-conde,529619,
marcin-garuch,187881,140624
pawel-tupaj,412483,
marcin-warcholak,266274,338075
piotr-azikiewicz,225850,188977
kamil-niewiadomski,605761,1117614
joan-roman,121411,226314
patryk-makuch,453639,979393
