id,slug,team,height,preferredFoot,marketValue
98953,mikkel-kirkeskov,holstein-kiel,185,Left,260000
112095,jakub-holubek,piast-gliwice,181,Left,165000
971481,arkadiusz-pyrka,piast-gliwice,177,,1900000
273221,martin-konczkowski,slask-wroclaw,181,Right,375000
72364,bartosz-rymaniak,mzks-arka-ii-gdynia,189,Right,52000
345986,tomasz-mokwa,piast-gliwice,181,Right,105000
,maksym-gendera,,,,
942846,remigiusz-borkala,pelikan-lowicz,176,Right,52000
889644,patryk-sokolowski,cracovia,181,Right,210000
801113,sebastian-milewski,mzks-arka-gdynia,175,Both,360000
770285,patryk-lipski,ethnikos-achnas,184,Right,270000
43112,tomasz-jodlowiec,podbeskidzie-bielsko-biala,190,Right,24000
997110,javier-hyjek,,,,
,michal-rakowiecki,,,,
,mateusz-winciersz,,,,
67600,michal-chrapek,piast-gliwice,178,Right,380000
845813,tiago-alves,tokyo-verdy,177,Right,915000
227460,kristopher-vida,nyiregyhaza-spartacus,176,Right,210000
,gerard-badia,,,,
158055,jakub-swierczok,omiya-ardija,179,Right,415000
123875,piotr-parzyszek,fc-emmen,190,Both,310000
940051,dominik-steczyk,preussen-munster,185,Right,195000
101754,michal-zyro,wisla-krakow,189,Left,105000
,karol-stanek,,,,
129391,krzysztof-kaminski,wisla-plock,191,Right,210000
336221,jakub-wrabel,stal-rzeszow,194,Left,210000
887472,bartlomiej-gradecki,wisla-plock,194,Right,340000
1145723,karol-szymkowiak,polonia-bytom,189,Right,24000
1141998,michal-oczkowski,zawisza-bydgoszcz,190,,23000
138601,alan-uryga,wisla-krakow,191,Right,260000
841409,damian-michalski,spvgg-greuther-furth,191,Right,1500000
207706,dusan-lagator,debreceni-vsc,190,Right,450000
889437,milan-obradovic,fk-javor-ivanjica,187,Left,370000
,jakub-rzezniczak,,,,
1022021,julio-rodriguez,real-aviles,193,Right,220000
72454,bartlomiej-sielewski,no-team,187,Right,
808992,angel-garcia,aek-larnaca,184,Left,545000
,piotr-tomasik,,,,
112022,damian-zbozien,gornik-leczna,184,Right,145000
987586,pawel-zuk,,,,
186003,mateusz-szwoch,wisla-plock,173,Right,310000
833847,damian-rasak,gornik-zabrze,184,Right,660000
325119,filip-lesniak,fc-telavi,176,Left,260000
846753,maciej-ambrosiewicz,bruk-bet-termalica-nieciecza,184,Right,330000
1035352,jakub-witek,,,,
1021226,kacper-kondracki,gks-wikielec,175,Right,46000
813059,kristian-vallo,wisla-plock,173,Right,330000
1012402,aleksander-pawlak,no-team,178,Left,245000
1108383,bartosz-zynek,,,,
,dawid-kocyla,,,,
137135,rafal-wolski,radomiak-radom,179,Right,520000
921482,piotr-pyrdol,pogon-siedlce,178,Right,26000
829030,hubert-adamczyk,mzks-arka-gdynia,174,Right,385000
844978,wojciech-szumilas,mks-chojniczanka-chojnice,176,Left,140000
1082232,fryderyk-gerbowski,,,,
1141978,dawid-krzyzanski,no-team,175,,24000
836631,luka-susnjara,fk-vardar-skopje,188,Left,110000
548624,torgil-gjertsen,,,,
37105,giorgi-merebashvili,podbeskidzie-bielsko-biala,180,Both,26000
1000704,kacper-rogozinski,no-team,179,,105000
71075,patryk-tuszynski,mks-kluczbork,184,Right,54000
,mateusz-lewandowski,,,,
21130,cillian-sheridan,queens-park-fc,196,Left,160000
