id,slug,name,place_of_birth,brith_date,nationality,height,position,manager
83616,benedikt-zech,Benedikt Zech,Feldkirch,3.11.1990,Austria,1.86,Srodkowy obronca,
130444,jakub-bartkowski,Jakub Bartkowski,Lodz,7.11.1991,Polska,1.82,Srodkowy obronca,
331871,mariusz-malec,Mariusz Malec,Chorzow,4.04.1995,Polska,1.91,Srodkowy obronca,INNfootball
225874,igor-lasicki,Igor Michal Lasicki,Walbrzych,26.06.1995,Polska,1.84,Srodkowy obronca,BMG-SPORT
631866,bartlomiej-mruk,Bartlomiej Mruk,Krakow,21.08.2001,Polska,1.84,Srodkowy obronca,
554283,filip-balcewicz,Filip Balcewicz,Szczecin,22.02.2003,Polska,1.85,Srodkowy obronca,
258002,luis-mata,Luis Carlos Machado Mata,Porto,6.07.1997,Portugalia,1.81,Lewy obronca,
181715,david-stec,,Wien,10.05.1994,Austria,1.78,Prawy obronca,HAGMAYR ...
143118,damian-dabrowski,Damian Dabrowski,Kamienna Gora,27.08.1992,Polska,1.78,Defensywny pomocnik,
191895,rafal-kurzawa,Rafal Kurzawa,Wieruszow,29.01.1993,Polska,1.82,Defensywny pomocnik,INNfootball
454388,maciej-zurawski,Maciej Zurawski,Torun,22.12.2000,Polska,1.84,Defensywny pomocnik,
597231,kacper-smolinski,Kapcer Smolinski,Police,7.02.2001,Polska,1.78,Defensywny pomocnik,
182718,tomas-podstawski,Tomas Martins Podstawski,Porto,30.01.1995,Portugalia,1.81,Defensywny pomocnik,Proeleven S.A.
409048,stanislaw-wawrzynowicz,Stanislaw Wawrzynowicz,Poznan,13.03.1999,Polska,1.77,Defensywny pomocnik,
570466,mateusz-legowski,Mateusz Legowski,Brodnica,29.01.2003,Polska,1.81,Defensywny pomocnik,
554284,kacper-kozlowski,Kacper Szymon Kozlowski,Koszalin,,Polska,1.82,Srodkowy pomocnik,CAA Stellar
330686,hubert-matynia,,Wrzesnia,4.11.1995,Polska,1.81,Lewy pomocnik,
289168,sebastian-kowalczyk,,Szczecin,22.08.1998,Polska,1.70,Ofensywny pomocnik,UNIDOS
45425,alexander-gorgon,Alexander Gorgon,Wien,,Austria,1.85,Ofensywny pomocnik,
169362,luka-zahovic,Luka Zahovic,Guimaraes,15.11.1995,Slowenia,1.77,Ofensywny pomocnik,Proeleven S.A.
345441,blazej-starzycki,Blazej Starzycki,Szczecin,27.06.2000,Polska,1.79,Ofensywny pomocnik,
454386,adrian-benedyczak,Adrian Dawid Benedyczak,Kamien Pomorski,24.11.2000,Polska,1.91,Lewy napastnik,
418762,santeri-hostikka,,Jarvenpaa,30.09.1997,Finlandia,1.83,Lewy napastnik,
697468,mariusz-fornalczyk,Mariusz Fornalczyk,Bytom,15.01.2003,Polska,1.72,Lewy napastnik,BMG-SPORT
223849,pawel-cibicki,Pawel Cibicki,Malmo,9.01.1994,Szwecja,1.82,Lewy napastnik,
116905,michal-kucharczyk,Michal Kucharczyk,Warszawa,20.03.1991,Polska,1.78,Prawy napastnik,INNfootball
